,primaryImprisonmentUnderLowerLimit,dismissalCourtFineSum,primaryFineSum,addFineSum,primaryImprisonment1,primaryImprisonment1_2,primaryImprisonment10_15,primaryImprisonment15_20,primaryImprisonment2_3,primaryImprisonment3_5,primaryImprisonment5_8,primaryImprisonment8_10,clause,dismissalCourtFine5,dismissalCourtFine100,dismissalCourtFine25_100,dismissalCourtFine5_25,primaryFine5,primaryFine1M,primaryFine100_300,primaryFine25_100,primaryFine300_500,primaryFine5_25,primaryFine500_1M,addFine5,addFine1M,primaryFine25_500,addFine25_500,addFine100_300,addFine25_100,addFine300_500,addFine5_25,addFine500_1M
2011,наказание назначено ниже низшего предела лишение свободы(2011),,,,до 1 года вкл.(2011),свыше 1 до 2 лет вкл.(2011),свыше 10 до 15 лет вкл.(2011),свыше 15 до 20 лет вкл.(2011),свыше 2 до 3 лет вкл.(2011),свыше 3 до 5 лет вкл.(2011),свыше 5 до 8 лет вкл.(2011),свыше 8 до 10 лет вкл.(2011),статьи ук рф(2011),,,,,"из гр. 6 ""штраф"" ф. 10.3 (основное наказание)  число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2011)","из гр. 6 ""штраф"" ф. 10.3 (основное наказание)  число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.(2011)",,,,"из гр. 6 ""штраф"" ф. 10.3 (основное наказание)  число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 6 ""штраф"" ф. 10.3 (основное наказание)  число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн.(2011)","из гр. 25 ""дополнительное наказание штраф"" ф.10.3  число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2011)","из гр. 25 ""дополнительное наказание штраф"" ф.10.3  число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.","из гр. 6 ""штраф"" ф. 10.3 (основное наказание)  число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.","из гр. 25 ""дополнительное наказание штраф"" ф.10.3  число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.",,,,"из гр. 25 ""дополнительное наказание штраф"" ф.10.3  число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 25 ""дополнительное наказание штраф"" ф.10.3  число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн."
2012,наказание назначено ниже низшего предела лишение свободы(2012),,,,до 1 года вкл.(2012),свыше 1 до 2 лет вкл.(2012),свыше 10 до 15 лет вкл.(2012),свыше 15 до 20 лет вкл.(2012),свыше 2 до 3 лет вкл.(2012),свыше 3 до 5 лет вкл.(2012),свыше 5 до 8 лет вкл.(2012),свыше 8 до 10 лет вкл.(2012),статьи ук рф(2012),,,,,"из гр. 6 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2012)","из гр. 6 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.(2012)",,,,"из гр. 6 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 6 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн.(2012)","из гр. 25 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2012)","из гр. 25 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.","из гр. 6 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.","из гр. 25 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.",,,,"из гр. 25 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 25 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн."
2013,наказание назначено ниже низшего предела лишение свободы(2013),,,,до 1 года вкл.(2013),свыше 1 до 2 лет вкл.(2013),свыше 10 до 15 лет вкл.(2013),свыше 15 до 20 лет вкл.(2013),свыше 2 до 3 лет вкл.(2013),свыше 3 до 5 лет вкл.(2013),свыше 5 до 8 лет вкл.(2013),свыше 8 до 10 лет вкл.(2013),статьи ук рф(2013),,,,,"из гр. 12 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2013)","из гр. 12 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.",,,,"из гр. 12 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 12 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн.(2013)","из гр. 26 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) до 5 тыс.(2013)","из гр. 26 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 1 млн.","из гр. 12 ""штраф"" ф. 10.3 (основное наказание) число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.","из гр. 26 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 25 тыс. до 500 тыс.",,,,"из гр. 26 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 5 тыс. до 25 тыс.","из гр. 26 ""дополнительное наказание штраф"" ф.10.3 число осужденных лиц по размеру штрафа (в руб.) свыше 500 тыс. до 1 млн.(2013)"
2014,наказание назначено ниже низшего предела лишение свободы(2014),,,,срок лишения свободы до 1 года вкл.(2014),срок лишения свободы свыше 1 до 2 лет вкл.(2014),срок лишения свободы свыше 10 до 15 лет вкл.(2014),срок лишения свободы свыше 15 до 20 лет вкл.(2014),срок лишения свободы свыше 2 до 3 лет вкл.(2014),срок лишения свободы свыше 3 до 5 лет вкл.(2014),срок лишения свободы свыше 5 до 8 лет вкл.(2014),срок лишения свободы свыше 8 до 10 лет вкл.(2014),статьи ук рф(2014),,,,,"штраф (в руб.)  (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2014)","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2014)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.(2014)",,,"штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.(2014)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.(2014)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.(2014)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.(2014)"
2015,наказание назначено ниже низшего предела лишение свободы(2015),,,,срок лишения свободы до 1 года вкл.(2015),срок лишения свободы свыше 1 до 2 лет вкл.(2015),срок лишения свободы свыше 10 до 15 лет вкл.(2015),срок лишения свободы свыше 15 до 20 лет вкл.(2015),срок лишения свободы свыше 2 до 3 лет вкл.(2015),срок лишения свободы свыше 3 до 5 лет вкл.(2015),срок лишения свободы свыше 5 до 8 лет вкл.(2015),срок лишения свободы свыше 8 до 10 лет вкл.(2015),статьи ук рф(2015),,,,,"штраф (в руб.)  (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2015)","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2015)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.(2015)",,,"штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.(2015)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.(2015)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.(2015)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.(2015)"
2016,наказание назначено ниже низшего предела лишение свободы(2016),,,,срок лишения свободы до 1 года включительно(2016),срок лишения свободы свыше 1 до 2 лет включительно(2016),срок лишения свободы свыше 10 до 15 лет включительно(2016),срок лишения свободы свыше 15 до 20 лет включительно(2016),срок лишения свободы свыше 2 до 3 лет включительно(2016),срок лишения свободы свыше 3 до 5 лет включительно(2016),срок лишения свободы свыше 5 до 8 лет включительно(2016),срок лишения свободы свыше 8 до 10 лет включительно(2016),статьи ук рф(2016),,,,,"штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2016)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 1 млн.(2016)",,,"штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 100 тыс. до 300 тыс.(2016)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) cвыше 300 тыс. до 500 тыс.(2016)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.(2016)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф.10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн.(2016)"
2017,наказание назначено ниже низшего предела лишение свободы(2017),,,,срок лишения свободы до 1 года включительно(2017),срок лишения свободы свыше 1 до 2 лет включительно(2017),срок лишения свободы свыше 10 до 15 лет включительно(2017),срок лишения свободы свыше 15 до 20 лет включительно(2017),срок лишения свободы свыше 2 до 3 лет включительно(2017),срок лишения свободы свыше 3 до 5 лет включительно(2017),срок лишения свободы свыше 5 до 8 лет включительно(2017),срок лишения свободы свыше 8 до 10 лет включительно(2017),статьи ук рф(2017),судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) до 5 тыс.,,,,"штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс.  до 100 тыс.(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.(2017)","штраф (в руб.)  (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн(2017)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.(2017)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн(2017)",,,"штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.(2017)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.(2017)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.(2017)","штраф (в руб.) (из гр. 26 ""дополнительное наказание "" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн(2017)"
2018,наказание назначено ниже низшего предела лишение свободы,"общая сумма судебных штрафов, назначенных в соответствии со статьей 104.4 ук рф всего руб.","общая сумма штрафов (из гр. 13 ""основное наказание"" ф. 10.3) всего руб.","общая сумма штрафов (из гр. 28 ""дополнительное наказание"" ф. 10.3) всего руб.",срок лишения свободы до 1 года включительно,срок лишения свободы свыше 1 до 2 лет включительно,срок лишения свободы свыше 10 до 15 лет включительно,срок лишения свободы свыше 15 до 20 лет включительно,срок лишения свободы свыше 2 до 3 лет включительно,срок лишения свободы свыше 3 до 5 лет включительно,срок лишения свободы свыше 5 до 8 лет включительно,срок лишения свободы свыше 8 до 10 лет включительно,статьи ук рф,судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число осужденных лиц по размеру штрафа) до 5 тыс.,судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 100 тыс.,судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.,судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.,"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.","штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн",,,"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.","штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн"
