name,clause,totalConvictedMain,addTotalPersons,addTotalOffences,addAcquittalPersons,addAcquittalOffences,addDismissalPersons,addDismissalOffences,addDismissalOtherPersons,addDismissalOtherOffences,addUnfitToPleadPersons,addUnfitToPleadOffences
Виды преступлений,Статьи Уголовного кодекса Российской Федерации по частям,Число осужденных по основной статье,Число осужденных по дополнительной квалификации,Число осужденных по дополнительной квалификации по количеству составов преступлений,Дополнительная квалификация. Оправдано  по числу лиц,Дополнительная квалификация. Оправдано  по количеству составов преступлений,Дополнительная квалификация. Прекращено  по числу лиц,Дополнительная квалификация. Прекращено  по количеству составов преступлений,Дополнительная квалификация. Прекращено по иным основаниям по числу лиц,Дополнительная квалификация. Прекращено по иным основаниям по количеству составов преступлений,Признано невменяемыми  по числу лиц,Признано невменяемыми  по количеству составов преступлений
,Статьи Уголовного кодекса Российской Федерации по частям  105 - 361,Число осужденных лиц по основной статье,Число осужденных по дополнительной квалификации по числу лиц,Дополнительная квалификация по приговору по количеству составов преступлений,,,"Дополнительная квалификация. Прекращено за отсутствием состава, события преступления, непричастностью к преступлению по числу лиц","Дополнительная квалификация. Прекращено за отсутствием состава, события преступления, непричастностью к преступлению по количеству составов преступлений",,,,Принудительные меры медицинского характера в отношении невменяемого дополнительная квалификация по судебным постановлениям по количеству составов преступлений
,Статьи Уголовного кодекса Российской Федерации по частям,,Дополнительная квалификация по приговору по числу лиц,Дополнительная квалификация. Осуждено по количеству составов преступлений,,,,,,,,
,,,Дополнительная квалификация. Осуждено по числу лиц,,,,,,,,,
,,,Число \nосужденных по дополнительной квалификации,,,,,,,,,
